text,label
это пиздец,0
будто бы ярик сын шлюхи,1
хахахахаха,0
сейчас потрогаю его,0
сейчас,0
щас,0
хапхаха,0
о,0
федя сын шалавы,1
бот долбаеб,1
ахахахахахаха,0
итрщдлапизджпадпадлдмпа,0
хзпхзапхпахп,0
ян,0
теперь у нас,0
хехахрзех,0
ахахахах,0
федя сын бляди,1
вот,0
ахахахахаххахахах,0
я пока отключил бота,0
да это я так к слову,0
мать феди умрела,1
артем ты гандон,1
ахахахаххахаахахха,0
ало,0
апехъхахпхпа,0
все бот удаляет,0
да блять,0
все бот удаляет,0
азазазаза,0
не все,0
апхахахх,0
выруби,0
да ты не пиши лесенкой,0
азхаахзахазхазхахз,0
аахаххахахаха,0
нет,0
потом он исправится,0
он смех не удаляет,0
ахахаххахаахахах,0
алол,0
але,0
але,0
алё,0
ало,0
вот так,0
вот,0
сука,0
чяего,0
чоо,0
ну вот не удаляет же,0
,0
ахахааахарххпхахаахп,0
че нахуй,0
вот,0
зачем,0
зачем,0
сука,0
блять,0
ахахахахх,0
зачем,0
что,0
хахахахаахахах,0
нет,0
пидор,1
хуйло,1
шлюха,1
уебан,1
чмо,1
хули происходит,0
наркоман,1
похуй,0
ахахахахахахах,0
что с ящиком,0
да я понял,0
так это чтобы не удалялось,0
ну так,0
блять ты просто ебаный долбаеб,1
какой максим идиот,1
брат пиздец,0
пиздец брат,0
брат ебал твой рот,1
брат долбаеб,1
брат ты шав,1
брат ты шалава,1
брат ты умрешь,0
брат умри,1
порежу тебе вены брат,1
вскрою тебе вен ы брат,1
максим сын шлюхи,1
щас запущу,0
пидорас максим,1
максим пидор,1
ебать мой хуй,0
сука,0
сукаблять,0
сукаэ,0
эсука,0
асука,0
аааа сука,0
хуета,1
ххахахахахахаххаах,0
бот хуета,1
лох,1
хахахахахахаххаа,0
п па,0
максим сын шлюхи,1
мать каждого ебал,1
пиши пока можешь,0
жопа,0
шлюха,1
хахахахахпхпхп,0
смотрите какая она жирная,1
сука,0
ебаная,1
ха,0
хахпхахахпхахпхпхахаз,0
маму его ебал,1
уборщик изгнан нахуй,1
пидорас,1
ублюдок отсталый,1
блять,0
блять,0
пидорасы,1
ублюдки недоразвитые,1
шавка,1
безработная шавка,1
нищий мусор,1
ты никто,1
ты никто в жизни этой долбаеб,1
ян лох,1
максим лох мяу,1
вот ублюдок,1
что он лох ебанны,1
че он тупой,1
ты хуесос,1
блять че он тупой такой,1
пидорас la la la la,1
ты нищий,1
эй пидорас,1
как ой ты тупой,1
достоевский идиот,0
идиот,1
ээээл я тупой,0
я тупой,0
ты тупой,1
идиот,1
конченый,1
долбаеб,1
сукин сын,1
долбаеб робот,1
хуйня,0
изда челам,0
же моим,0
а как поч у меня такого нету,0
адно подмучу пожалуй,0
а кто такая алиса то,0
это будет легко или нет,0
во всех мирах ты ты всё моё твоё плохое мифы отцу перескажи в сказке фантазий,0
сидишь давишь,0
ебашу чисто,0
онял тепа,0
на хера,0
просто пизкдц назхыч зачишка ебанйнв счын шалвал ынахуй,1
ахахаха еать вы типы смешные,1
из за таких как ты,1
зачем это достаточно мощно,0
ой клан,0
я в шоке с тебя,0
давай скинь адрес стой скинь,0
ты куда ушел,0
до конца жизни,0
ися не корова,0
сосо ез,1
ахахаахха патриот слушает,0
потом зайду дам потом,0
ты просто убился там чем тонахуй видиом нгахуцй,1
